Year,Domestic Currency (EUR),Exchange Rate (USD),EUR_USD,EUR_EUR
2005,20.70846153846154,0.8047959111013698,25.28878733748718,20.70846153846154
2006,17.32888888888889,0.7968201945479452,21.530564241194444,17.32888888888889
2007,0.65612,0.7304506720575342,0.863994171828,0.65612
2008,17.37884920634921,0.6832573219071039,25.73523182850794,17.37884920634921
2009,13.15123015873016,0.7192178023150685,18.408112561706346,13.15123015873016
2010,14.335669291338583,0.7551805511260273,18.98356367003937,14.335669291338583
2011,12.940748031496062,0.7191593641917807,18.082912145503936,12.940748031496062
2012,7.382629482071713,0.7783880883606556,9.485630571231075,7.382629482071713
2013,4.4698,0.7531975332958903,5.943380282676,4.4698
2014,5.94901185770751,0.7538473022547946,7.886678671296443,5.94901185770751
2015,7.68193675889328,0.901730752109589,8.521480410142292,7.68193675889328
2016,5.349766536964981,0.9041285989726776,5.919238806782102,5.349766536964981
2017,5.828549019607843,0.8869634072356164,6.625078511039216,5.828549019607843
2018,15.820316205533597,0.8474128649123288,18.55155109814229,15.820316205533597
2019,24.83932806324111,0.8933621051808219,27.796462002252966,24.83932806324111
2020,24.7588671875,0.8766249695519125,28.422191958476564,24.7588671875
2021,53.5397265625,0.8455082845534246,63.04201839269531,53.5397265625
2022,80.82081712062256,0.9513281166547946,85.2784369796887,80.82081712062256
2023,83.47070588235293,0.9246484617479452,90.25747125501961,83.47070588235293
2024,59.59952380952381,0.9209347247472527,64.72872096634921,59.59952380952381
